,date,value
0,2023-08-11,4.07
1,2023-08-04,4.07
2,2023-07-28,3.92
3,2023-07-21,3.81
4,2023-07-14,3.89
5,2023-07-07,3.98
6,2023-06-30,3.77
7,2023-06-23,3.75
8,2023-06-16,3.78
9,2023-06-09,3.73
10,2023-06-02,3.66
11,2023-05-26,3.76
12,2023-05-19,3.59
13,2023-05-12,3.47
14,2023-05-05,3.44
15,2023-04-28,3.46
16,2023-04-21,3.58
17,2023-04-14,3.44
18,2023-04-07,3.35
19,2023-03-31,3.54
20,2023-03-24,3.46
21,2023-03-17,3.53
22,2023-03-10,3.91
23,2023-03-03,3.98
24,2023-02-24,3.93
25,2023-02-17,3.8
26,2023-02-10,3.67
27,2023-02-03,3.48
28,2023-01-27,3.49
29,2023-01-20,3.44
30,2023-01-13,3.52
31,2023-01-06,3.69
32,2022-12-30,3.86
33,2022-12-23,3.67
34,2022-12-16,3.51
35,2022-12-09,3.52
36,2022-12-02,3.63
37,2022-11-25,3.75
38,2022-11-18,3.79
39,2022-11-11,4.08
40,2022-11-04,4.12
41,2022-10-28,4.07
42,2022-10-21,4.12
43,2022-10-14,3.95
44,2022-10-07,3.75
45,2022-09-30,3.83
46,2022-09-23,3.59
47,2022-09-16,3.42
48,2022-09-09,3.31
49,2022-09-02,3.17
50,2022-08-26,3.05
51,2022-08-19,2.87
52,2022-08-12,2.81
53,2022-08-05,2.72
54,2022-07-29,2.75
55,2022-07-22,2.94
56,2022-07-15,2.95
57,2022-07-08,2.96
58,2022-07-01,3.07
59,2022-06-24,3.17
60,2022-06-17,3.36
61,2022-06-10,3.05
62,2022-06-03,2.92
63,2022-05-27,2.77
64,2022-05-20,2.87
65,2022-05-13,2.94
66,2022-05-06,3.01
67,2022-04-29,2.83
68,2022-04-22,2.89
69,2022-04-15,2.76
70,2022-04-08,2.59
71,2022-04-01,2.39
72,2022-03-25,2.37
73,2022-03-18,2.16
74,2022-03-11,1.91
75,2022-03-04,1.8
76,2022-02-25,1.97
77,2022-02-18,1.99
78,2022-02-11,1.95
79,2022-02-04,1.83
80,2022-01-28,1.79
81,2022-01-21,1.82
82,2022-01-14,1.75
83,2022-01-07,1.7
84,2021-12-31,1.51
85,2021-12-24,1.47
86,2021-12-17,1.44
87,2021-12-10,1.48
88,2021-12-03,1.43
89,2021-11-26,1.61
90,2021-11-19,1.6
91,2021-11-12,1.53
92,2021-11-05,1.54
93,2021-10-29,1.59
94,2021-10-22,1.65
95,2021-10-15,1.57
96,2021-10-08,1.55
97,2021-10-01,1.51
98,2021-09-24,1.37
99,2021-09-17,1.33
100,2021-09-10,1.35
101,2021-09-03,1.3
102,2021-08-27,1.31
103,2021-08-20,1.26
104,2021-08-13,1.34
105,2021-08-06,1.22
106,2021-07-30,1.26
107,2021-07-23,1.26
108,2021-07-16,1.36
109,2021-07-09,1.34
110,2021-07-02,1.47
111,2021-06-25,1.5
112,2021-06-18,1.51
113,2021-06-11,1.5
114,2021-06-04,1.6
115,2021-05-28,1.59
116,2021-05-21,1.64
117,2021-05-14,1.65
118,2021-05-07,1.6
119,2021-04-30,1.63
120,2021-04-23,1.58
121,2021-04-16,1.62
122,2021-04-09,1.68
123,2021-04-02,1.72
124,2021-03-26,1.65
125,2021-03-19,1.66
126,2021-03-12,1.57
127,2021-03-05,1.49
