,Unnamed: 0,1. open,2. high,3. low,4. close,yield10
0,2004-06-04,1.2247,1.2306,1.2139,1.2289,
1,2004-06-11,1.2283,1.2351,1.1962,1.2007,
2,2004-06-18,1.2003,1.2165,1.195,1.2137,3.92
3,2004-06-25,1.2137,1.2192,1.2037,1.215,3.81
4,2004-07-02,1.2137,1.233,1.2062,1.2321,3.89
5,2004-07-09,1.2315,1.2424,1.227,1.241,3.98
6,2004-07-16,1.241,1.246,1.2295,1.2446,3.77
7,2004-07-23,1.2429,1.246,1.2087,1.2092,3.75
8,2004-07-30,1.2092,1.2193,1.1987,1.2007,3.78
9,2004-08-06,1.2062,1.2288,1.1965,1.228,3.73
10,2004-08-13,1.2273,1.2374,1.206,1.2372,3.66
11,2004-08-20,1.2365,1.2388,1.2274,1.2304,3.76
12,2004-08-27,1.2315,1.2316,1.1994,1.2012,3.59
13,2004-09-03,1.2015,1.2217,1.1985,1.2056,3.47
14,2004-09-10,1.2071,1.2309,1.2022,1.2266,3.44
15,2004-09-17,1.2252,1.2294,1.212,1.2173,3.46
16,2004-09-24,1.2165,1.2361,1.2122,1.2274,3.58
17,2004-10-01,1.229,1.2444,1.2244,1.2407,3.44
18,2004-10-08,1.2388,1.2433,1.2243,1.2409,3.35
19,2004-10-15,1.2411,1.2495,1.2223,1.2474,3.54
20,2004-10-22,1.2472,1.2689,1.2446,1.2684,3.46
21,2004-10-29,1.2675,1.2841,1.2626,1.2783,3.53
22,2004-11-05,1.274,1.295,1.2652,1.2942,3.91
23,2004-11-12,1.2913,1.3005,1.2847,1.2979,3.98
24,2004-11-19,1.297,1.3075,1.2913,1.3015,3.93
25,2004-11-26,1.3027,1.3329,1.297,1.3293,3.8
26,2004-12-03,1.3266,1.3459,1.3224,1.3456,3.67
27,2004-12-10,1.3439,1.3467,1.3136,1.3236,3.48
28,2004-12-17,1.3202,1.3444,1.3185,1.3306,3.49
29,2004-12-24,1.3322,1.3547,1.3293,1.3524,3.44
30,2004-12-31,1.3525,1.3667,1.3509,1.3552,3.52
31,2005-01-07,1.3552,1.358,1.302,1.305,3.69
32,2005-01-14,1.3087,1.3292,1.3044,1.3107,3.86
33,2005-01-21,1.3097,1.3128,1.2918,1.3042,3.67
34,2005-01-28,1.3041,1.3123,1.294,1.3036,3.51
35,2005-02-04,1.3033,1.3093,1.2863,1.2872,3.52
36,2005-02-11,1.2869,1.2905,1.2728,1.2865,3.63
37,2005-02-18,1.2961,1.3088,1.2853,1.3065,3.75
38,2005-02-25,1.3059,1.3273,1.3028,1.3244,3.79
39,2005-03-04,1.3242,1.3278,1.3084,1.3236,4.08
40,2005-03-11,1.323,1.3481,1.3176,1.3453,4.12
41,2005-03-18,1.3464,1.3478,1.326,1.3323,4.07
42,2005-03-25,1.3309,1.3316,1.2925,1.2955,4.12
43,2005-04-01,1.295,1.3051,1.2852,1.2906,3.95
44,2005-04-08,1.2881,1.2942,1.2796,1.292,3.75
45,2005-04-15,1.2928,1.3014,1.2775,1.2898,3.83
46,2005-04-22,1.2915,1.3124,1.2775,1.3064,3.59
47,2005-04-29,1.3064,1.3064,1.285,1.2869,3.42
48,2005-05-06,1.2859,1.299,1.2806,1.2834,3.31
49,2005-05-13,1.2815,1.2913,1.2607,1.2619,3.17
50,2005-05-20,1.2612,1.269,1.2533,1.255,3.05
51,2005-05-27,1.2542,1.263,1.2492,1.2571,2.87
52,2005-06-03,1.2529,1.2571,1.2157,1.2227,2.81
53,2005-06-10,1.2227,1.2353,1.2104,1.213,2.72
54,2005-06-17,1.2109,1.2289,1.2013,1.2283,2.75
55,2005-06-24,1.222,1.2283,1.1981,1.2084,2.94
56,2005-07-01,1.2099,1.2185,1.1933,1.1939,2.95
57,2005-07-08,1.1935,1.204,1.1864,1.1974,2.96
58,2005-07-15,1.1973,1.2254,1.1954,1.204,3.07
59,2005-07-22,1.2034,1.2254,1.195,1.2057,3.17
60,2005-07-29,1.2057,1.2159,1.1962,1.2119,3.36
61,2005-08-05,1.2129,1.2402,1.2095,1.2373,3.05
62,2005-08-12,1.2336,1.2486,1.2311,1.2436,2.92
63,2005-08-19,1.2453,1.2456,1.2123,1.2161,2.77
64,2005-08-26,1.2164,1.2342,1.2153,1.2283,2.87
65,2005-09-02,1.2282,1.2589,1.2167,1.254,2.94
66,2005-09-09,1.2536,1.2584,1.2373,1.2412,3.01
67,2005-09-16,1.2412,1.2414,1.219,1.2234,2.83
68,2005-09-23,1.2234,1.2268,1.2041,1.2046,2.89
69,2005-09-30,1.2046,1.2092,1.1976,1.2016,2.76
70,2005-10-07,1.2016,1.2207,1.1897,1.2122,2.59
71,2005-10-14,1.2122,1.2153,1.191,1.2087,2.39
72,2005-10-21,1.2087,1.212,1.1871,1.1949,2.37
73,2005-10-28,1.1949,1.2174,1.1918,1.2062,2.16
74,2005-11-04,1.2062,1.2091,1.1801,1.1823,1.91
75,2005-11-11,1.1823,1.1832,1.1669,1.1704,1.8
76,2005-11-18,1.1705,1.1794,1.1637,1.1763,1.97
77,2005-11-25,1.1763,1.1861,1.1684,1.1717,1.99
78,2005-12-02,1.1714,1.1901,1.1657,1.171,1.95
79,2005-12-09,1.1701,1.1848,1.1686,1.1817,1.83
80,2005-12-16,1.1783,1.2061,1.1772,1.2009,1.79
81,2005-12-23,1.2013,1.2037,1.1798,1.1861,1.82
82,2005-12-30,1.1869,1.1931,1.1774,1.1829,1.75
83,2006-01-06,1.1852,1.2178,1.1797,1.2156,1.7
84,2006-01-13,1.2072,1.2169,1.2004,1.2135,1.51
85,2006-01-20,1.2145,1.2174,1.2038,1.2136,1.47
86,2006-01-27,1.2141,1.2322,1.2084,1.2102,1.44
87,2006-02-03,1.2103,1.2189,1.1966,1.2023,1.48
88,2006-02-10,1.2037,1.2047,1.1896,1.1906,1.43
89,2006-02-17,1.1898,1.1954,1.1846,1.193,1.61
90,2006-02-24,1.1928,1.1974,1.1857,1.1875,1.6
91,2006-03-03,1.1871,1.2051,1.1825,1.203,1.53
92,2006-03-10,1.2047,1.2093,1.1857,1.1913,1.54
93,2006-03-17,1.1914,1.2207,1.1908,1.2195,1.59
94,2006-03-24,1.2168,1.2196,1.1949,1.203,1.65
95,2006-03-31,1.2037,1.2175,1.1978,1.2121,1.57
96,2006-04-07,1.2116,1.2333,1.2029,1.2101,1.55
97,2006-04-14,1.2106,1.2167,1.2065,1.211,1.51
98,2006-04-21,1.2122,1.2394,1.2118,1.2344,1.37
99,2006-04-28,1.2352,1.2635,1.2329,1.2613,1.33
100,2006-05-05,1.2628,1.2763,1.2553,1.2728,1.35
101,2006-05-12,1.2743,1.2954,1.266,1.2926,1.3
102,2006-05-19,1.2946,1.2971,1.2692,1.277,1.31
103,2006-05-26,1.2761,1.2889,1.2693,1.2725,1.26
104,2006-06-02,1.273,1.2937,1.2717,1.2921,1.34
105,2006-06-09,1.2924,1.298,1.2595,1.264,1.22
106,2006-06-16,1.2614,1.2673,1.2528,1.2636,1.26
107,2006-06-23,1.2647,1.2679,1.2475,1.2509,1.26
108,2006-06-30,1.2506,1.279,1.2499,1.2789,1.36
109,2006-07-07,1.2786,1.2859,1.2702,1.2812,1.34
110,2006-07-14,1.2811,1.2818,1.2622,1.2644,1.47
111,2006-07-21,1.2633,1.2696,1.2458,1.2695,1.5
112,2006-07-28,1.2702,1.2772,1.2558,1.2747,1.51
113,2006-08-04,1.2762,1.2909,1.2718,1.2878,1.5
114,2006-08-11,1.2884,1.2909,1.2717,1.2721,1.6
115,2006-08-18,1.2711,1.2886,1.2695,1.2823,1.59
116,2006-08-25,1.2873,1.2938,1.2725,1.2751,1.64
117,2006-09-01,1.2759,1.2879,1.2751,1.2835,1.65
118,2006-09-08,1.284,1.2874,1.265,1.2677,1.6
