,1. open,2. high,3. low,4. close
2004-06-04,0.7142,0.7173,0.6842,0.6957
2004-06-11,0.6962,0.7075,0.686,0.6919
2004-06-18,0.6922,0.6992,0.6771,0.6894
2004-06-25,0.689,0.7026,0.6842,0.7001
2004-07-02,0.6998,0.7138,0.6876,0.7132
2004-07-09,0.7129,0.7241,0.7112,0.7227
2004-07-16,0.7274,0.7318,0.7009,0.7315
2004-07-23,0.7318,0.7347,0.707,0.7088
2004-07-30,0.7088,0.7138,0.6927,0.7009
2004-08-06,0.7038,0.7156,0.6987,0.712
2004-08-13,0.7135,0.7185,0.7052,0.7152
2004-08-20,0.7186,0.7261,0.7124,0.7228
2004-08-27,0.7231,0.7239,0.6998,0.7037
2004-09-03,0.7009,0.7074,0.6904,0.6912
2004-09-10,0.6923,0.6991,0.6844,0.6951
2004-09-17,0.6951,0.7048,0.693,0.6973
2004-09-24,0.698,0.7167,0.6969,0.7139
2004-10-01,0.7121,0.7283,0.7099,0.7254
2004-10-08,0.7218,0.7364,0.7184,0.7346
2004-10-15,0.7372,0.7376,0.721,0.7289
2004-10-22,0.7304,0.7404,0.722,0.739
2004-10-29,0.7415,0.7508,0.7365,0.7487
2004-11-05,0.7483,0.7631,0.7429,0.7623
2004-11-12,0.7623,0.7699,0.7548,0.7688
2004-11-19,0.7734,0.786,0.7675,0.7835
2004-11-26,0.7839,0.7946,0.777,0.7907
2004-12-03,0.7892,0.7907,0.7692,0.7814
2004-12-10,0.7814,0.7821,0.7443,0.7515
2004-12-17,0.7479,0.7667,0.7473,0.7623
2004-12-24,0.7633,0.771,0.7609,0.7695
2004-12-31,0.7684,0.7842,0.7681,0.7813
2005-01-07,0.7803,0.7835,0.7537,0.7573
2005-01-14,0.7569,0.7946,0.7547,0.7587
2005-01-21,0.7591,0.7714,0.7501,0.7692
2005-01-28,0.7702,0.7803,0.7627,0.7735
2005-02-04,0.7746,0.7788,0.767,0.7699
2005-02-11,0.7688,0.7864,0.7609,0.7857
2005-02-18,0.7846,0.7897,0.7784,0.7885
2005-02-25,0.7894,0.7957,0.7804,0.7868
2005-03-04,0.786,0.7946,0.7768,0.7907
2005-03-11,0.7901,0.799,0.787,0.7922
2005-03-18,0.788,0.7957,0.7858,0.7944
2005-03-25,0.7862,0.7945,0.7696,0.7714
2005-04-01,0.7716,0.7777,0.7667,0.7709
2005-04-08,0.7685,0.7736,0.7624,0.7707
2005-04-15,0.7716,0.7804,0.7648,0.7689
2005-04-22,0.7685,0.7832,0.7632,0.7799
2005-04-29,0.7822,0.7842,0.7741,0.7803
2005-05-06,0.7802,0.7827,0.7719,0.7752
2005-05-13,0.775,0.7792,0.7595,0.7612
2005-05-20,0.7602,0.7618,0.7527,0.7541
2005-05-27,0.7546,0.7648,0.754,0.7632
2005-06-03,0.7614,0.7633,0.7472,0.7539
2005-06-10,0.7555,0.7705,0.7539,0.7609
2005-06-17,0.7621,0.7782,0.7587,0.7768
2005-06-24,0.7765,0.7809,0.7664,0.7699
2005-07-01,0.7696,0.7703,0.7493,0.7516
2005-07-08,0.75,0.752,0.7363,0.7425
2005-07-15,0.7425,0.7575,0.7416,0.7499
2005-07-22,0.7487,0.7687,0.7471,0.7655
2005-07-29,0.7621,0.7655,0.7527,0.7561
2005-08-05,0.7556,0.7739,0.7549,0.7688
2005-08-12,0.7678,0.7755,0.7583,0.7718
2005-08-19,0.7728,0.7745,0.7493,0.7514
2005-08-26,0.7513,0.7615,0.7503,0.7564
2005-09-02,0.7551,0.7665,0.7455,0.7637
2005-09-09,0.7637,0.7754,0.7633,0.7743
2005-09-16,0.7743,0.7763,0.7639,0.7674
2005-09-23,0.7674,0.7731,0.7568,0.7571
2005-09-30,0.7572,0.7645,0.7527,0.7625
2005-10-07,0.7625,0.7647,0.755,0.7561
2005-10-14,0.7561,0.7606,0.746,0.7521
2005-10-21,0.7521,0.7548,0.7437,0.748
2005-10-28,0.748,0.7605,0.7464,0.7497
2005-11-04,0.7497,0.7523,0.7308,0.7336
2005-11-11,0.7336,0.7381,0.7283,0.7325
2005-11-18,0.7323,0.7353,0.7261,0.7331
2005-11-25,0.733,0.7405,0.7318,0.7353
2005-12-02,0.7352,0.7489,0.732,0.7487
2005-12-09,0.7465,0.7543,0.744,0.7503
2005-12-16,0.7502,0.7579,0.7417,0.7434
2005-12-23,0.7435,0.747,0.7266,0.7276
