,1. open,2. high,3. low,4. close
2004-06-04,1.3621,1.3722,1.3473,1.3496
2004-06-11,1.3503,1.3691,1.3389,1.3642
2004-06-18,1.3635,1.3818,1.3622,1.363
2004-06-25,1.3629,1.3682,1.3407,1.3488
2004-07-02,1.3448,1.3535,1.3223,1.3234
2004-07-09,1.323,1.3288,1.3139,1.3198
2004-07-16,1.3171,1.3301,1.3108,1.3108
2004-07-23,1.3091,1.3272,1.3049,1.3207
2004-07-30,1.3207,1.3386,1.315,1.3308
2004-08-06,1.3299,1.3348,1.307,1.3135
2004-08-13,1.3105,1.3335,1.307,1.309
2004-08-20,1.3085,1.3128,1.2948,1.2977
2004-08-27,1.297,1.3154,1.2969,1.3128
2004-09-03,1.3128,1.3243,1.296,1.2992
2004-09-10,1.2998,1.3006,1.2842,1.2912
2004-09-17,1.2905,1.3054,1.2877,1.2976
2004-09-24,1.297,1.302,1.2711,1.274
2004-10-01,1.2719,1.2776,1.2582,1.2604
2004-10-08,1.2632,1.2755,1.2493,1.251
2004-10-15,1.2553,1.2687,1.2496,1.2518
2004-10-22,1.256,1.2618,1.2323,1.2343
2004-10-29,1.2316,1.246,1.2152,1.2192
2004-11-05,1.2209,1.228,1.1957,1.1993
2004-11-12,1.1928,1.2029,1.1897,1.1921
2004-11-19,1.2008,1.2086,1.187,1.1928
2004-11-26,1.1857,1.1971,1.1713,1.1756
2004-12-03,1.1775,1.2007,1.1763,1.1928
2004-12-10,1.2015,1.235,1.1899,1.2252
2004-12-17,1.2267,1.2408,1.218,1.2266
2004-12-24,1.2288,1.2467,1.2216,1.228
2004-12-31,1.2192,1.2329,1.1964,1.1986
2005-01-07,1.2072,1.2395,1.2,1.231
2005-01-14,1.2321,1.2388,1.1943,1.2151
2005-01-21,1.2166,1.2367,1.2117,1.2208
2005-01-28,1.2238,1.2467,1.2137,1.2402
2005-02-04,1.2388,1.2502,1.2303,1.2493
2005-02-11,1.2487,1.2582,1.2352,1.2367
2005-02-18,1.2367,1.2452,1.2256,1.231
2005-02-25,1.2316,1.2498,1.223,1.2376
2005-03-04,1.2379,1.2494,1.2271,1.2313
2005-03-11,1.231,1.2351,1.1991,1.2057
2005-03-18,1.203,1.2099,1.1973,1.2022
2005-03-25,1.2033,1.2198,1.1979,1.2178
2005-04-01,1.2155,1.2265,1.2053,1.2138
2005-04-08,1.2163,1.232,1.2138,1.2282
2005-04-15,1.2292,1.2478,1.2234,1.2464
2005-04-22,1.2454,1.2497,1.231,1.2354
2005-04-29,1.235,1.2618,1.2302,1.2586
2005-05-06,1.2593,1.2639,1.2379,1.2415
2005-05-13,1.2412,1.2659,1.2355,1.2653
2005-05-20,1.2652,1.2733,1.2552,1.2653
2005-05-27,1.2659,1.2693,1.2512,1.2531
2005-06-03,1.2564,1.2631,1.2419,1.246
2005-06-10,1.2473,1.2586,1.2422,1.2526
2005-06-17,1.2506,1.2591,1.228,1.2297
2005-06-24,1.2309,1.2428,1.226,1.2321
2005-07-01,1.2342,1.2432,1.2228,1.242
2005-07-08,1.244,1.2478,1.2168,1.2206
2005-07-15,1.2189,1.2218,1.2015,1.2205
2005-07-22,1.2204,1.2248,1.2104,1.2169
2005-07-29,1.2189,1.2427,1.2092,1.2092
2005-08-05,1.2218,1.2261,1.206,1.215
2005-08-12,1.2162,1.2191,1.1917,1.1965
2005-08-19,1.1956,1.2219,1.1937,1.211
2005-08-26,1.2102,1.2161,1.1859,1.1977
2005-09-02,1.1973,1.203,1.1801,1.1914
2005-09-09,1.1882,1.1943,1.1722,1.1772
2005-09-16,1.1772,1.1897,1.1757,1.1787
2005-09-23,1.1787,1.183,1.162,1.1712
2005-09-30,1.1734,1.1818,1.16,1.162
2005-10-07,1.162,1.1868,1.1617,1.1751
2005-10-14,1.1751,1.1893,1.1682,1.1851
2005-10-21,1.1858,1.1883,1.1706,1.188
2005-10-28,1.1877,1.1924,1.1607,1.1773
2005-11-04,1.1777,1.1866,1.1712,1.1841
2005-11-11,1.1844,1.1974,1.1798,1.1901
2005-11-18,1.1893,1.1975,1.1848,1.1908
2005-11-25,1.1905,1.1909,1.1671,1.1687
2005-12-02,1.1691,1.1734,1.1599,1.1614
2005-12-09,1.1614,1.1641,1.153,1.157
2005-12-16,1.1572,1.1606,1.1424,1.1581
2005-12-23,1.1581,1.1754,1.1576,1.1658
2005-12-30,1.166,1.175,1.1601,1.1626
2006-01-06,1.1634,1.1728,1.1449,1.1662
2006-01-13,1.1705,1.1746,1.1557,1.1611
2006-01-20,1.1586,1.1797,1.1515,1.1532
2006-01-27,1.153,1.1581,1.1451,1.1496
2006-02-03,1.1482,1.1501,1.1373,1.1443
2006-02-10,1.1431,1.1562,1.1413,1.1538
2006-02-17,1.1534,1.1612,1.1505,1.151
2006-02-24,1.1503,1.1556,1.1446,1.1478
2006-03-03,1.149,1.1509,1.1295,1.1354
2006-03-10,1.1343,1.1649,1.133,1.161
2006-03-17,1.1595,1.1636,1.1509,1.1584
2006-03-24,1.1594,1.1722,1.1569,1.1678
2006-03-31,1.1678,1.1747,1.1573,1.1683
2006-04-07,1.168,1.1772,1.1435,1.1482
2006-04-14,1.1485,1.1535,1.1424,1.1514
2006-04-21,1.1515,1.1536,1.1346,1.1374
2006-04-28,1.1359,1.1401,1.1159,1.1178
2006-05-05,1.1171,1.1188,1.1011,1.1068
2006-05-12,1.1057,1.1165,1.0972,1.1092
2006-05-19,1.1088,1.1274,1.101,1.1205
2006-05-26,1.12,1.1267,1.1046,1.107
2006-06-02,1.1046,1.11,1.0926,1.1009
2006-06-09,1.1013,1.1245,1.0973,1.105
2006-06-16,1.1062,1.125,1.0957,1.122
2006-06-23,1.1219,1.1289,1.1032,1.1234
2006-06-30,1.1201,1.1268,1.1077,1.1157
2006-07-07,1.1157,1.1188,1.1038,1.1141
2006-07-14,1.114,1.1399,1.1129,1.1281
2006-07-21,1.1277,1.1405,1.1259,1.138
2006-07-28,1.1372,1.1457,1.1281,1.132
2006-08-04,1.13,1.137,1.1216,1.1282
2006-08-11,1.1268,1.1281,1.117,1.1247
2006-08-18,1.1255,1.1318,1.1143,1.124
2006-08-25,1.1248,1.1254,1.1048,1.109
2006-09-01,1.1089,1.1126,1.1027,1.1041
2006-09-08,1.1041,1.1207,1.104,1.1201
2006-09-15,1.1207,1.1234,1.1122,1.119
2006-09-22,1.12,1.1295,1.1118,1.1174
2006-09-29,1.1173,1.119,1.1085,1.1176
2006-10-06,1.1175,1.1305,1.1144,1.1254
2006-10-13,1.1262,1.1387,1.1211,1.1379
2006-10-20,1.1371,1.1414,1.1201,1.1254
2006-10-27,1.1249,1.1321,1.1176,1.1195
2006-11-03,1.1194,1.1373,1.1178,1.1297
2006-11-10,1.1296,1.1363,1.1255,1.1323
2006-11-17,1.131,1.1475,1.1303,1.1467
2006-11-24,1.1464,1.1493,1.1305,1.1346
2006-12-01,1.133,1.1465,1.1286,1.1447
2006-12-08,1.1447,1.1516,1.1379,1.1493
2006-12-15,1.1487,1.1588,1.1454,1.1577
2006-12-22,1.1576,1.1587,1.1429,1.1583
2006-12-29,1.1584,1.1668,1.1567,1.1658
2007-01-05,1.1659,1.1784,1.1625,1.1726
2007-01-12,1.1771,1.1802,1.1683,1.1699
2007-01-19,1.1683,1.1774,1.1645,1.1723
2007-01-26,1.1721,1.1851,1.1713,1.1797
2007-02-02,1.1795,1.187,1.1733,1.1843
2007-02-09,1.1839,1.1875,1.1712,1.1722
2007-02-16,1.1729,1.1766,1.1618,1.1628
2007-02-23,1.1634,1.1715,1.1561,1.1595
2007-03-02,1.1596,1.1774,1.1575,1.1773
2007-03-09,1.1763,1.1824,1.1702,1.1723
2007-03-16,1.1724,1.1779,1.1679,1.1753
2007-03-23,1.177,1.1787,1.1529,1.1606
2007-03-30,1.1605,1.1636,1.1499,1.1538
2007-04-06,1.1516,1.1598,1.1487,1.1511
2007-04-13,1.1507,1.1531,1.1327,1.1377
2007-04-20,1.1365,1.1367,1.1213,1.1236
2007-04-27,1.1233,1.1246,1.1128,1.1164
2007-05-04,1.1153,1.1194,1.1031,1.1075
2007-05-11,1.1066,1.1167,1.1005,1.1105
2007-05-18,1.1106,1.1125,1.0876,1.0885
2007-05-25,1.0892,1.0898,1.0776,1.08
2007-06-01,1.0793,1.0833,1.0599,1.0607
2007-06-08,1.0609,1.0712,1.0549,1.0606
2007-06-15,1.0609,1.0739,1.0589,1.0678
2007-06-22,1.0679,1.0758,1.0614,1.0677
2007-06-29,1.0679,1.0734,1.0484,1.0652
2007-07-06,1.064,1.064,1.0462,1.0493
2007-07-13,1.0489,1.0611,1.0443,1.0476
2007-07-20,1.0478,1.0495,1.04,1.0486
2007-07-27,1.0482,1.0647,1.0339,1.0639
2007-08-03,1.064,1.0699,1.05,1.0567
2007-08-10,1.0566,1.064,1.0461,1.0529
2007-08-17,1.0534,1.0862,1.0485,1.0598
2007-08-24,1.0604,1.0665,1.0474,1.0514
2007-08-31,1.0505,1.0675,1.0471,1.0555
2007-09-07,1.0554,1.0581,1.0478,1.055
2007-09-14,1.0547,1.059,1.0277,1.0297
2007-09-21,1.0299,1.0311,0.9945,1.0006
2007-09-28,1.0001,1.0094,0.9912,0.9922
2007-10-05,0.9925,1.0016,0.9787,0.9804
2007-10-12,0.9812,0.9895,0.9716,0.9717
