,1. open,2. high,3. low,4. close
2004-06-04,110.38,111.94,109.02,111.03
2004-06-11,111.1,111.14,108.62,110.04
2004-06-18,110.1,111.46,108.52,108.82
2004-06-25,108.8,109.4,106.99,107.71
2004-07-02,107.24,109.33,107.02,108.26
2004-07-09,108.35,109.71,107.89,108.22
2004-07-16,107.91,110.04,107.53,108.73
2004-07-23,108.16,110.3,108.05,110.15
2004-07-30,110.15,112.48,109.4,111.43
2004-08-06,111.05,111.9,109.8,110.44
2004-08-13,110.37,112.11,110.12,110.69
2004-08-20,110.51,111.01,108.91,109.19
2004-08-27,109.75,110.48,108.98,109.62
2004-09-03,109.93,110.69,108.69,110.51
2004-09-10,110.05,110.62,109.01,109.58
2004-09-17,109.55,110.37,109.26,109.58
2004-09-24,109.8,110.91,109.55,110.61
2004-10-01,111.3,111.72,109.79,110.51
2004-10-08,110.66,111.44,109.26,109.41
2004-10-15,109.36,110.19,108.76,109.19
2004-10-22,109.29,109.58,107.15,107.23
2004-10-29,106.69,107.37,105.76,105.87
2004-11-05,106.41,106.91,105.48,105.69
2004-11-12,105.55,107.29,105.26,105.48
2004-11-19,105.36,105.72,102.68,103.05
2004-11-26,103.12,103.69,102.12,102.51
2004-12-03,102.62,103.58,101.8,102.01
2004-12-10,102.01,106.19,101.87,105.12
2004-12-17,105.48,105.76,103.43,104.19
2004-12-24,104.05,104.69,103.41,103.66
2004-12-31,103.55,104.26,102.26,102.33
2005-01-07,102.65,105.19,102.3,104.75
2005-01-14,104.76,104.87,101.75,102.05
2005-01-21,101.94,103.91,101.65,102.61
2005-01-28,102.76,104.33,102.33,103.26
2005-02-04,103.66,104.71,103.3,104.05
2005-02-11,104.2,106.86,104.03,105.78
2005-02-18,105.7,105.87,104.25,105.61
2005-02-25,105.65,105.8,103.77,105.18
2005-03-04,105.19,105.59,104.05,104.76
2005-03-11,104.67,105.36,103.62,103.99
2005-03-18,103.9,105.19,103.7,104.72
2005-03-25,104.72,106.57,104.64,106.37
2005-04-01,106.34,107.79,106.3,107.51
2005-04-08,107.63,108.89,107.51,108.16
2005-04-15,108.27,108.55,107.1,107.71
2005-04-22,107.6,108.55,105.72,106.02
2005-04-29,105.94,106.39,104.57,104.69
2005-05-06,105.03,105.42,104.15,105.01
2005-05-13,105.11,107.43,104.89,107.31
2005-05-20,107.28,108.29,106.53,108.15
